variant,source,entry_time_ny,resolved_time_ny,symbol,condition,level_name,direction,entry,sl,r_size,outcome,hit_50,hit_liquidity,t50_px,t100_px,stdv_2_px,stdv_2_5_px,stdv_4_px,mfe_r,mae_r,net_r,risk_usd,pnl_usd,balance_after
m5_cisd,yahoo,2026-07-10 03:30:00-04:00,2026-07-10T03:54:53-04:00,XAUUSD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,4123.2001953125,4117.5,5.7001953125,stop,False,False,4130.64990234375,4137.7998046875,4134.3994140625,4137.29931640625,4145.9990234375,0.0,-1.58,-1.0,50.0,-50.0,4950.0
m5_managed,yahoo,2026-07-10 03:30:00-04:00,2026-07-10T03:54:54-04:00,XAUUSD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,4123.2001953125,4117.5,5.7001953125,stop,False,False,4130.64990234375,4137.7998046875,4134.3994140625,4137.29931640625,4145.9990234375,0.0,-1.58,-1.0,50.0,-50.0,4950.0
m5_managed,yahoo,2026-07-10 03:20:00-04:00,2026-07-10T03:56:55-04:00,USDCAD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,1.4162800312042236,1.4149999618530273,0.001280069351196289,be_after_partial,True,False,1.4164849519729614,1.4172699451446533,1.4168200492858887,1.4171400666236877,1.418100118637085,0.27,-0.53,0.08,50.0,4.0,4954.0
m5_managed,yahoo,2026-07-10 02:25:00-04:00,2026-07-10T07:00:00-04:00,GBPUSD,pdh_pdl_sweep,PDH,bearish_sweep,1.342822551727295,1.3435803651809692,0.0007578134536743164,breakeven,False,False,1.3405407071113586,1.3381506204605103,1.3427504301071167,1.3426421880722046,1.3423174619674683,2.47,-0.88,0.0,50.0,0.0,4954.0
m5_cisd,yahoo,2026-07-10 02:25:00-04:00,2026-07-10T07:06:06-04:00,GBPUSD,pdh_pdl_sweep,PDH,bearish_sweep,1.342822551727295,1.3435803651809692,0.0007578134536743164,stop,False,False,1.3405407071113586,1.3381506204605103,1.3427504301071167,1.3426421880722046,1.3423174619674683,2.47,-1.17,-1.0,50.0,-50.0,4900.0
m5_cisd,yahoo,2026-07-10 06:50:00-04:00,2026-07-10T07:10:10-04:00,US500,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,7587.5,7590.75,3.25,stop,False,False,7582.25,7576.0,7560.0,7555.125,7540.5,0.08,-1.0,-1.0,49.5,-49.5,4850.5
m5_managed,yahoo,2026-07-10 06:50:00-04:00,2026-07-10T07:10:10-04:00,US500,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,7587.5,7590.75,3.25,stop,False,False,7582.25,7576.0,7560.0,7555.125,7540.5,0.08,-1.0,-1.0,49.54,-49.54,4904.46
m5_cisd,yahoo,2026-07-10 03:20:00-04:00,2026-07-10T08:01:01-04:00,USDCAD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,1.4162800312042236,1.4149999618530273,0.001280069351196289,stop,True,False,1.4164849519729614,1.4172699451446533,1.4168200492858887,1.4171400666236877,1.418100118637085,0.69,-1.0,-1.0,50.0,-50.0,4800.5
m5_cisd,yahoo,2026-07-10 07:25:00-04:00,2026-07-10T08:23:36-04:00,US500,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_High,bearish_sweep,7587.5,7591.5,4.0,stop,True,False,7583.125,7574.5,7560.0,7554.625,7538.5,2.56,-2.0,-1.0,48.51,-48.51,4751.99
m5_managed,yahoo,2026-07-10 07:25:00-04:00,2026-07-10T08:23:36-04:00,US500,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_High,bearish_sweep,7587.5,7591.5,4.0,be_after_partial,True,False,7583.125,7574.5,7560.0,7554.625,7538.5,2.56,-2.0,0.547,49.04,26.82,4931.28
m5_cisd,yahoo,2026-07-10 08:25:00-04:00,2026-07-10T08:35:49-04:00,USDCAD,pdh_pdl_sweep,PDL,bullish_sweep,1.4155199527740479,1.4146000146865845,0.0009199380874633789,stop,False,False,1.4169299602508545,1.4189599752426147,1.4232800006866455,1.424809992313385,1.4293999671936035,0.23,-1.87,-1.0,48.01,-48.01,4703.98
m5_managed,yahoo,2026-07-10 08:25:00-04:00,2026-07-10T08:35:50-04:00,USDCAD,pdh_pdl_sweep,PDL,bullish_sweep,1.4155199527740479,1.4146000146865845,0.0009199380874633789,stop,False,False,1.4169299602508545,1.4189599752426147,1.4232800006866455,1.424809992313385,1.4293999671936035,0.23,-1.87,-1.0,49.04,-49.04,4882.24
m5_cisd,yahoo,2026-07-10 08:25:00-04:00,2026-07-10T08:35:50-04:00,USDCAD,crt_range_sweep,CRT_5AM_CRT_1AM_London_Low,bullish_sweep,1.4155199527740479,1.4146000146865845,0.0009199380874633789,stop,False,False,1.4159049987792969,1.4169100522994995,1.4232800006866455,1.424809992313385,1.4293999671936035,0.23,-1.87,-1.0,48.01,-48.01,4655.97
m5_managed,yahoo,2026-07-10 08:25:00-04:00,2026-07-10T08:35:51-04:00,USDCAD,crt_range_sweep,CRT_5AM_CRT_1AM_London_Low,bullish_sweep,1.4155199527740479,1.4146000146865845,0.0009199380874633789,stop,False,False,1.4159049987792969,1.4169100522994995,1.4232800006866455,1.424809992313385,1.4293999671936035,0.23,-1.87,-1.0,49.04,-49.04,4833.2
m5_ote,yahoo,2026-07-10 08:30:00-04:00,2026-07-10T08:41:56-04:00,USDCAD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,1.4155319595336915,1.4149999618530273,0.0005319976806641424,stop,False,False,1.4164849519729614,1.4172699451446533,1.4168200492858887,1.4171400666236877,1.418100118637085,0.0,-2.5,-1.0,50.0,-50.0,4950.0
m5_ote,yahoo,2026-07-10 08:30:00-04:00,2026-07-10T08:41:57-04:00,USDCAD,pdh_pdl_sweep,PDL,bullish_sweep,1.4150256037712097,1.4146000146865845,0.00042558908462519973,stop,False,False,1.4169299602508545,1.4189599752426147,1.4232800006866455,1.424809992313385,1.4293999671936035,0.0,-1.94,-1.0,50.0,-50.0,4900.0
m5_ote,yahoo,2026-07-10 08:30:00-04:00,2026-07-10T08:41:58-04:00,USDCAD,crt_range_sweep,CRT_5AM_CRT_1AM_London_Low,bullish_sweep,1.4150256037712097,1.4146000146865845,0.00042558908462519973,stop,False,False,1.4159049987792969,1.4169100522994995,1.4232800006866455,1.424809992313385,1.4293999671936035,0.0,-1.94,-1.0,50.0,-50.0,4850.0
m5_ote,yahoo,2026-07-10 08:30:00-04:00,2026-07-10T08:46:02-04:00,XAUUSD,crt_range_sweep,CRT_1AM_CRT_5PM_CBDR_Low,bullish_sweep,4120.121962890625,4117.5,2.6219628906246726,stop,False,False,4130.64990234375,4137.7998046875,4134.3994140625,4137.29931640625,4145.9990234375,0.0,-4.36,-1.0,50.0,-50.0,4800.0
m5_cisd,yahoo,2026-07-10 08:35:00-04:00,2026-07-10T08:50:06-04:00,US500,pdh_pdl_sweep,PDH,bearish_sweep,7584.75,7590.25,5.5,stop,False,False,7555.625,7516.25,7540.75,7531.625,7504.25,-0.0,-1.41,-1.0,48.01,-48.01,4607.96
m5_managed,yahoo,2026-07-10 08:35:00-04:00,2026-07-10T08:50:07-04:00,US500,pdh_pdl_sweep,PDH,bearish_sweep,7584.75,7590.25,5.5,stop,False,False,7555.625,7516.25,7540.75,7531.625,7504.25,-0.0,-1.41,-1.0,49.04,-49.04,4784.16
m5_ote,yahoo,2026-07-10 08:35:00-04:00,2026-07-10T08:52:09-04:00,US500,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_High,bearish_sweep,7589.42,7590.75,1.3299999999999272,stop,False,False,7582.25,7576.0,7560.0,7555.125,7540.5,0.5,-2.32,-1.0,50.0,-50.0,4750.0
m5_ote,yahoo,2026-07-10 08:35:00-04:00,2026-07-10T08:52:10-04:00,US500,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_High,bearish_sweep,7589.695,7591.5,1.805000000000291,stop,False,False,7583.125,7574.5,7560.0,7554.625,7538.5,0.52,-1.55,-1.0,50.0,-50.0,4700.0
m5_ote,yahoo,2026-07-10 08:40:00-04:00,2026-07-10T08:56:14-04:00,US500,pdh_pdl_sweep,PDH,bearish_sweep,7587.97,7590.25,2.2799999999997453,stop,False,False,7555.625,7516.25,7540.75,7531.625,7504.25,-0.0,-1.11,-1.0,50.0,-50.0,4650.0
m5_cisd,yahoo,2026-07-10 08:10:00-04:00,2026-07-10T09:34:56-04:00,XAUUSD,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_Low,bullish_sweep,4123.60009765625,4104.5,19.10009765625,stop,False,False,4131.449951171875,4144.60009765625,4120.49951171875,4122.6494140625,4129.09912109375,0.08,-1.0,-1.0,49.5,-49.5,4558.46
m5_managed,yahoo,2026-07-10 08:10:00-04:00,2026-07-10T09:34:56-04:00,XAUUSD,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_Low,bullish_sweep,4123.60009765625,4104.5,19.10009765625,stop,False,False,4131.449951171875,4144.60009765625,4120.49951171875,4122.6494140625,4129.09912109375,0.08,-1.0,-1.0,49.54,-49.54,4734.62
m5_ote,yahoo,2026-07-10 08:30:00-04:00,2026-07-10T09:34:57-04:00,XAUUSD,crt_range_sweep,CRT_5AM_CRT_9PM_Asia_Low,bullish_sweep,4113.05,4104.5,8.550000000000182,stop,False,False,4131.449951171875,4144.60009765625,4120.49951171875,4122.6494140625,4129.09912109375,0.29,-1.0,-1.0,50.0,-50.0,4600.0
m5_cisd,yahoo,2026-07-10 09:20:00-04:00,2026-07-10T09:37:00-04:00,USDCAD,crt_range_sweep,CRT_9AM_CRT_1AM_London_Low,bullish_sweep,1.4154800176620483,1.4146000146865845,0.0008800029754638672,stop,False,False,1.4159049987792969,1.4169100522994995,1.4199501276016235,1.420975148677826,1.424050211906433,0.42,-1.0,-1.0,46.08,-46.08,4512.38
m5_managed,yahoo,2026-07-10 09:20:00-04:00,2026-07-10T09:37:00-04:00,USDCAD,crt_range_sweep,CRT_9AM_CRT_1AM_London_Low,bullish_sweep,1.4154800176620483,1.4146000146865845,0.0008800029754638672,stop,False,False,1.4159049987792969,1.4169100522994995,1.4199501276016235,1.420975148677826,1.424050211906433,0.42,-1.0,-1.0,47.84,-47.84,4686.78
m5_ote,yahoo,2026-07-10 09:30:00-04:00,2026-07-10T09:41:05-04:00,USDCAD,crt_range_sweep,CRT_9AM_CRT_1AM_London_Low,bullish_sweep,1.4150179934501648,1.4146000146865845,0.0004179787635802956,stop,False,False,1.4159049987792969,1.4169100522994995,1.4199501276016235,1.420975148677826,1.424050211906433,0.58,-1.24,-1.0,46.5,-46.5,4553.5
m5_managed,yahoo,2026-07-10 09:45:00-04:00,2026-07-10T10:05:34-04:00,USDCAD,crt_range_sweep,CRT_5AM_CRT_5PM_CBDR_Low,bullish_sweep,1.4161700010299683,1.4138000011444092,0.002369999885559082,be_after_partial,True,False,1.4164849519729614,1.4172699451446533,1.4202802181243896,1.4210602641105652,1.4234004020690918,0.2,-0.28,0.066,49.04,3.26,4690.04
